Date,"Peso (kg)","Masa grasa (kg)","Bone mass (kg)","Muscle mass (kg)","Hidratación (kg)",Comentarios
"2022-03-25 11:07:42",78.87,,,,,
"2022-03-24 08:43:23",78.74,10.67,2.97,65.09,44.17,
"2022-03-23 09:10:19",79.10,11.50,2.95,64.63,43.81,
"2022-03-22 08:16:21",79.24,11.75,2.95,64.53,43.74,
"2022-03-16 08:33:29",79.46,11.77,2.95,64.72,43.88,
"2022-03-15 11:02:36",79.45,9.76,3.03,66.64,45.46,
"2022-03-14 14:00:37",80.13,10.14,3.04,66.94,45.67,
"2022-03-09 09:20:12",81.15,11.77,,,,
"2022-03-08 11:39:28",80.80,10.46,,,,
"2022-03-08 11:37:23",80.70,10.41,,,,
"2022-03-04 14:23:36",81.00,9.03,,,,
"2022-03-03 18:51:30",81.60,9.40,,,,
"2022-03-02 10:03:23",82.30,10.23,,,,
"2022-03-01 15:13:49",82.95,10.00,,,,
"2022-02-25 08:12:46",83.05,12.75,,,,
"2022-02-22 11:24:10",83.35,9.33,,,,
"2022-02-20 17:31:34",82.40,8.27,,,,
"2022-02-20 10:06:19",82.95,12.98,,,,
"2022-02-18 18:18:47",83.05,10.05,,,,
"2022-02-15 09:56:47",82.85,12.04,,,,
"2022-02-15 09:11:37",83.00,13.01,,,,
"2022-02-14 08:25:32",83.45,12.16,,,,
"2022-02-11 14:15:17",83.05,8.47,,,,
"2022-02-10 09:34:52",82.60,12.88,,,,
"2022-02-09 09:53:45",82.05,,,,,
"2022-02-08 19:39:31",82.55,11.29,,,,
"2022-02-05 11:36:41",82.50,10.62,,,,
"2022-02-04 09:33:27",83.05,11.34,,,,
"2022-02-03 13:09:34",82.90,10.73,,,,
"2022-02-01 19:51:56",82.80,11.26,,,,
"2022-01-31 19:47:30",82.50,11.37,,,,
"2022-01-31 09:47:34",83.60,,,,,
"2022-01-27 10:33:57",83.35,11.45,,,,
"2022-01-26 11:35:55",83.35,10.92,,,,
"2022-01-25 09:32:03",83.65,12.22,,,,
"2022-01-24 13:37:38",83.55,10.80,,,,
"2022-01-22 09:10:11",83.30,12.08,,,,
"2022-01-21 11:51:12",83.20,5.54,,,,
"2022-01-19 13:33:13",83.60,11.78,,,,
"2022-01-19 10:07:03",83.85,14.14,,,,
"2022-01-18 22:39:40",84.40,12.92,,,,
"2022-01-12 10:52:15",83.50,13.14,,,,
"2022-01-12 09:41:05",83.70,13.51,,,,
"2022-01-11 11:30:19",83.85,13.18,,,,
"2022-01-10 09:54:50",84.30,10.97,,,,
"2022-01-08 09:11:44",84.00,14.00,,,,
"2022-01-07 10:49:53",84.15,12.34,,,,
"2022-01-05 14:35:23",83.50,10.83,,,,
